"B73_noP_all_ONLY","B73_PvsB73_noP_ONLY","MICH_noPvsB73_noP_ONLY","MICH_PvsB73_noP_ONLY","B73_noP_all_B73_PvsB73_noP","B73_noP_all_MICH_noPvsB73_noP","B73_noP_all_MICH_PvsB73_noP","B73_PvsB73_noP_MICH_noPvsB73_noP","B73_PvsB73_noP_MICH_PvsB73_noP","MICH_noPvsB73_noP_MICH_PvsB73_noP","ALL"
NA,NA,NA,NA,"Zm00001eb045750","Zm00001eb011750","Zm00001eb322650","Zm00001eb195800","Zm00001eb177090","Zm00001eb196320","Zm00001eb389720"
NA,NA,NA,NA,"Zm00001eb157640","Zm00001eb024430","Zm00001eb307680","Zm00001eb202960","Zm00001eb433300","Zm00001eb309340","Zm00001eb207830"
NA,NA,NA,NA,"Zm00001eb349070","Zm00001eb275030","Zm00001eb174810","Zm00001eb021720","Zm00001eb107080","Zm00001eb152090","Zm00001eb243560"
NA,NA,NA,NA,"Zm00001eb032380","Zm00001eb393060","Zm00001eb063350","Zm00001eb206580","Zm00001eb299010","Zm00001eb190150","Zm00001eb323300"
NA,NA,NA,NA,"Zm00001eb019840","Zm00001eb139700","Zm00001eb166920","Zm00001eb151340","Zm00001eb138650","Zm00001eb265080","Zm00001eb099230"
NA,NA,NA,NA,"Zm00001eb321480","Zm00001eb272640","Zm00001eb064130","Zm00001eb149810","Zm00001eb326080","Zm00001eb213010","Zm00001eb310990"
NA,NA,NA,NA,"Zm00001eb338890","Zm00001eb260160","Zm00001eb112080","Zm00001eb042410","Zm00001eb054380","Zm00001eb195340","Zm00001eb041460"
NA,NA,NA,NA,"Zm00001eb387370","Zm00001eb099610","Zm00001eb038410","Zm00001eb334670","Zm00001eb191220","Zm00001eb194700","Zm00001eb185980"
NA,NA,NA,NA,"Zm00001eb016850","Zm00001eb402410","Zm00001eb249160","Zm00001eb258130","Zm00001eb211170","Zm00001eb253960","Zm00001eb101090"
NA,NA,NA,NA,"Zm00001eb159890","Zm00001eb234460","Zm00001eb148590","Zm00001eb383670","Zm00001eb164040","Zm00001eb375640","Zm00001eb266060"
NA,NA,NA,NA,"Zm00001eb410510","Zm00001eb340260","Zm00001eb385750","Zm00001eb365580","Zm00001eb094750","Zm00001eb166770","Zm00001eb308850"
NA,NA,NA,NA,"Zm00001eb202960","Zm00001eb066960","Zm00001eb286310","Zm00001eb054590","Zm00001eb238210","Zm00001eb093210","Zm00001eb006860"
NA,NA,NA,NA,"Zm00001eb021720","Zm00001eb093140","Zm00001eb071870","Zm00001eb080160","Zm00001eb036550","Zm00001eb052690","Zm00001eb309780"
NA,NA,NA,NA,"Zm00001eb206580","Zm00001eb018900","Zm00001eb328720","Zm00001eb114700","Zm00001eb315060","Zm00001eb335670","Zm00001eb073810"
NA,NA,NA,NA,"Zm00001eb294600","Zm00001eb370930","Zm00001eb147480","Zm00001eb309880","Zm00001eb304720","Zm00001eb054810","Zm00001eb291630"
NA,NA,NA,NA,"Zm00001eb405570","Zm00001eb429440","Zm00001eb162400","Zm00001eb402760","Zm00001eb179680","Zm00001eb333110","Zm00001eb410060"
NA,NA,NA,NA,"Zm00001eb151340","Zm00001eb082100","Zm00001eb245170","Zm00001eb003480","Zm00001eb137110","Zm00001eb232580","Zm00001eb245670"
NA,NA,NA,NA,"Zm00001eb149810","Zm00001eb113580","Zm00001eb307450","Zm00001eb206350","Zm00001eb419950","Zm00001eb402580","Zm00001eb194160"
NA,NA,NA,NA,"Zm00001eb042260","Zm00001eb004320","Zm00001eb418340","Zm00001eb216410","Zm00001eb355420","Zm00001eb035580","Zm00001eb325300"
NA,NA,NA,NA,"Zm00001eb042410","Zm00001eb036910","Zm00001eb069630","Zm00001eb255830","Zm00001eb275860","Zm00001eb187610","Zm00001eb203230"
NA,NA,NA,NA,"Zm00001eb349810","Zm00001eb388670","Zm00001eb311260","Zm00001eb111610","Zm00001eb258440","Zm00001eb423880","Zm00001eb009840"
NA,NA,NA,NA,"Zm00001eb334670","Zm00001eb078670","Zm00001eb390590","Zm00001eb253380","Zm00001eb424430","Zm00001eb350090","Zm00001eb013150"
NA,NA,NA,NA,"Zm00001eb258130","Zm00001eb293940","Zm00001eb045750","Zm00001eb112950","Zm00001eb327000","Zm00001eb306070","Zm00001eb147750"
NA,NA,NA,NA,"Zm00001eb383670","Zm00001eb109570","Zm00001eb157640","Zm00001eb194080","Zm00001eb197020","Zm00001eb362560","Zm00001eb235590"
NA,NA,NA,NA,"Zm00001eb037540","Zm00001eb117660","Zm00001eb349070","Zm00001eb250160","Zm00001eb235710","Zm00001eb080840","Zm00001eb250110"
NA,NA,NA,NA,"Zm00001eb365580","Zm00001eb011140","Zm00001eb032380","Zm00001eb099420","Zm00001eb225470","Zm00001eb187460","Zm00001eb216220"
NA,NA,NA,NA,"Zm00001eb233900","Zm00001eb164350","Zm00001eb121000","Zm00001eb213970","Zm00001eb196320","Zm00001eb010130","Zm00001eb245270"
NA,NA,NA,NA,"Zm00001eb054590","Zm00001eb293150","Zm00001eb019840","Zm00001eb409690","Zm00001eb309340","Zm00001eb165040","Zm00001eb292260"
NA,NA,NA,NA,"Zm00001eb080160","Zm00001eb365640","Zm00001eb128120","Zm00001eb098120","Zm00001eb152090","Zm00001eb351780","Zm00001eb407190"
NA,NA,NA,NA,"Zm00001eb114700","Zm00001eb419580","Zm00001eb321480","Zm00001eb196030","Zm00001eb265080","Zm00001eb370570","Zm00001eb114610"
NA,NA,NA,NA,"Zm00001eb309880","Zm00001eb236550","Zm00001eb338890","Zm00001eb087720","Zm00001eb213010","Zm00001eb374010","Zm00001eb165870"
NA,NA,NA,NA,"Zm00001eb402760","Zm00001eb322130","Zm00001eb387370","Zm00001eb172070","Zm00001eb194700","Zm00001eb202520","Zm00001eb241910"
NA,NA,NA,NA,"Zm00001eb003480","Zm00001eb389720","Zm00001eb016850","Zm00001eb369970","Zm00001eb124740","Zm00001eb339770","Zm00001eb061160"
NA,NA,NA,NA,"Zm00001eb206350","Zm00001eb207830","Zm00001eb159890","Zm00001eb406020","Zm00001eb065120","Zm00001eb137420","Zm00001eb315490"
NA,NA,NA,NA,"Zm00001eb216410","Zm00001eb243560","Zm00001eb410510","Zm00001eb220060","Zm00001eb253960","Zm00001eb108400","Zm00001eb208800"
NA,NA,NA,NA,"Zm00001eb255830","Zm00001eb323300","Zm00001eb012750","Zm00001eb063150","Zm00001eb325090","Zm00001eb194180","Zm00001eb308100"
NA,NA,NA,NA,"Zm00001eb046590","Zm00001eb099230","Zm00001eb168120","Zm00001eb247580","Zm00001eb296690","Zm00001eb322650","Zm00001eb403560"
NA,NA,NA,NA,"Zm00001eb111610","Zm00001eb310990","Zm00001eb202960","Zm00001eb235050","Zm00001eb375640","Zm00001eb157030","Zm00001eb054950"
NA,NA,NA,NA,"Zm00001eb253380","Zm00001eb041460","Zm00001eb021720","Zm00001eb162720","Zm00001eb061810","Zm00001eb307680","Zm00001eb120060"
NA,NA,NA,NA,"Zm00001eb112950","Zm00001eb185980","Zm00001eb206580","Zm00001eb377470","Zm00001eb166770","Zm00001eb377120","Zm00001eb096870"
NA,NA,NA,NA,"Zm00001eb194080","Zm00001eb101090","Zm00001eb294600","Zm00001eb004590","Zm00001eb093210","Zm00001eb063350","Zm00001eb312390"
NA,NA,NA,NA,"Zm00001eb250160","Zm00001eb266060","Zm00001eb405570","Zm00001eb196640","Zm00001eb052690","Zm00001eb148590","Zm00001eb427430"
NA,NA,NA,NA,"Zm00001eb099420","Zm00001eb308850","Zm00001eb101640","Zm00001eb158010","Zm00001eb222850","Zm00001eb385750","Zm00001eb300260"
NA,NA,NA,NA,"Zm00001eb409690","Zm00001eb253170","Zm00001eb151340","Zm00001eb180480","Zm00001eb335670","Zm00001eb286310","Zm00001eb112490"
NA,NA,NA,NA,"Zm00001eb098120","Zm00001eb006860","Zm00001eb149810","Zm00001eb037980","Zm00001eb054810","Zm00001eb071870","Zm00001eb022980"
NA,NA,NA,NA,"Zm00001eb196030","Zm00001eb309780","Zm00001eb042260","Zm00001eb213720","Zm00001eb333110","Zm00001eb187290","Zm00001eb354650"
NA,NA,NA,NA,"Zm00001eb087720","Zm00001eb073810","Zm00001eb042410","Zm00001eb264670","Zm00001eb232580","Zm00001eb162400","Zm00001eb049310"
NA,NA,NA,NA,"Zm00001eb055860","Zm00001eb033760","Zm00001eb349810","Zm00001eb161480","Zm00001eb402580","Zm00001eb245170","Zm00001eb002620"
NA,NA,NA,NA,"Zm00001eb172070","Zm00001eb291630","Zm00001eb334670","Zm00001eb135430","Zm00001eb035580","Zm00001eb307450","Zm00001eb198950"
NA,NA,NA,NA,"Zm00001eb369970","Zm00001eb410060","Zm00001eb258130","Zm00001eb325410","Zm00001eb423880","Zm00001eb418340","Zm00001eb019570"
NA,NA,NA,NA,"Zm00001eb406020","Zm00001eb245670","Zm00001eb037540","Zm00001eb129050","Zm00001eb350090","Zm00001eb069630","Zm00001eb216310"
NA,NA,NA,NA,"Zm00001eb063340","Zm00001eb194160","Zm00001eb365580","Zm00001eb313760","Zm00001eb346800","Zm00001eb311260","Zm00001eb011240"
NA,NA,NA,NA,"Zm00001eb122190","Zm00001eb325300","Zm00001eb233900","Zm00001eb388800","Zm00001eb306070","Zm00001eb390590","Zm00001eb163000"
NA,NA,NA,NA,"Zm00001eb220060","Zm00001eb203230","Zm00001eb054590","Zm00001eb303350","Zm00001eb362560","Zm00001eb045750","Zm00001eb266490"
NA,NA,NA,NA,"Zm00001eb063150","Zm00001eb009840","Zm00001eb080160","Zm00001eb345960","Zm00001eb080840","Zm00001eb349070","Zm00001eb010410"
NA,NA,NA,NA,"Zm00001eb247580","Zm00001eb013150","Zm00001eb114700","Zm00001eb169510","Zm00001eb010130","Zm00001eb032380","Zm00001eb244570"
NA,NA,NA,NA,"Zm00001eb235050","Zm00001eb137780","Zm00001eb309880","Zm00001eb011750","Zm00001eb165040","Zm00001eb019840","Zm00001eb159290"
NA,NA,NA,NA,"Zm00001eb040840","Zm00001eb147750","Zm00001eb402760","Zm00001eb024430","Zm00001eb351780","Zm00001eb321480","Zm00001eb379570"
NA,NA,NA,NA,"Zm00001eb101710","Zm00001eb235590","Zm00001eb003480","Zm00001eb275030","Zm00001eb370570","Zm00001eb387370","Zm00001eb025450"
NA,NA,NA,NA,"Zm00001eb162720","Zm00001eb040970","Zm00001eb206350","Zm00001eb393060","Zm00001eb374010","Zm00001eb007720","Zm00001eb167710"
NA,NA,NA,NA,"Zm00001eb215560","Zm00001eb250110","Zm00001eb216410","Zm00001eb139700","Zm00001eb202520","Zm00001eb195800","Zm00001eb313970"
NA,NA,NA,NA,"Zm00001eb377470","Zm00001eb216220","Zm00001eb255830","Zm00001eb272640","Zm00001eb137420","Zm00001eb202960","Zm00001eb047630"
NA,NA,NA,NA,"Zm00001eb004590","Zm00001eb245270","Zm00001eb046590","Zm00001eb099610","Zm00001eb108400","Zm00001eb021720","Zm00001eb019580"
NA,NA,NA,NA,"Zm00001eb069870","Zm00001eb292260","Zm00001eb111610","Zm00001eb236620","Zm00001eb322650","Zm00001eb206580","Zm00001eb344160"
NA,NA,NA,NA,"Zm00001eb180480","Zm00001eb407190","Zm00001eb253380","Zm00001eb402410","Zm00001eb307680","Zm00001eb151340","Zm00001eb145390"
NA,NA,NA,NA,"Zm00001eb037980","Zm00001eb114610","Zm00001eb112950","Zm00001eb399970","Zm00001eb174810","Zm00001eb149810","Zm00001eb286610"
NA,NA,NA,NA,"Zm00001eb213720","Zm00001eb165870","Zm00001eb194080","Zm00001eb234460","Zm00001eb377120","Zm00001eb042410","Zm00001eb008910"
NA,NA,NA,NA,"Zm00001eb264670","Zm00001eb241910","Zm00001eb250160","Zm00001eb340260","Zm00001eb063350","Zm00001eb334670","Zm00001eb251680"
NA,NA,NA,NA,"Zm00001eb161480","Zm00001eb061160","Zm00001eb099420","Zm00001eb066960","Zm00001eb166920","Zm00001eb258130","Zm00001eb102160"
NA,NA,NA,NA,"Zm00001eb325410","Zm00001eb315490","Zm00001eb409690","Zm00001eb093140","Zm00001eb185700","Zm00001eb365580","Zm00001eb295250"
NA,NA,NA,NA,"Zm00001eb129050","Zm00001eb208800","Zm00001eb098120","Zm00001eb018900","Zm00001eb112080","Zm00001eb054590","Zm00001eb034290"
NA,NA,NA,NA,"Zm00001eb313760","Zm00001eb308100","Zm00001eb196030","Zm00001eb370930","Zm00001eb249160","Zm00001eb080160","Zm00001eb048730"
NA,NA,NA,NA,"Zm00001eb388800","Zm00001eb403560","Zm00001eb087720","Zm00001eb429440","Zm00001eb148590","Zm00001eb114700","Zm00001eb259120"
NA,NA,NA,NA,"Zm00001eb303350","Zm00001eb054950","Zm00001eb055860","Zm00001eb082100","Zm00001eb385750","Zm00001eb309880","Zm00001eb419700"
NA,NA,NA,NA,"Zm00001eb403920","Zm00001eb120060","Zm00001eb172070","Zm00001eb113580","Zm00001eb286310","Zm00001eb402760","Zm00001eb314670"
NA,NA,NA,NA,"Zm00001eb345960","Zm00001eb096870","Zm00001eb369970","Zm00001eb416580","Zm00001eb071870","Zm00001eb003480","Zm00001eb422270"
NA,NA,NA,NA,"Zm00001eb169510","Zm00001eb312390","Zm00001eb406020","Zm00001eb004320","Zm00001eb328720","Zm00001eb206350","Zm00001eb079980"
NA,NA,NA,NA,"Zm00001eb011750","Zm00001eb427430","Zm00001eb063340","Zm00001eb036910","Zm00001eb271530","Zm00001eb216410","Zm00001eb049240"
NA,NA,NA,NA,"Zm00001eb164870","Zm00001eb300260","Zm00001eb122190","Zm00001eb078670","Zm00001eb147480","Zm00001eb255830","Zm00001eb158530"
NA,NA,NA,NA,"Zm00001eb125470","Zm00001eb112490","Zm00001eb220060","Zm00001eb293940","Zm00001eb162400","Zm00001eb111610","Zm00001eb408260"
NA,NA,NA,NA,"Zm00001eb024430","Zm00001eb022980","Zm00001eb261890","Zm00001eb109570","Zm00001eb245170","Zm00001eb188350","Zm00001eb307660"
NA,NA,NA,NA,"Zm00001eb275030","Zm00001eb354650","Zm00001eb315500","Zm00001eb011140","Zm00001eb418340","Zm00001eb253380","Zm00001eb294830"
NA,NA,NA,NA,"Zm00001eb393060","Zm00001eb049310","Zm00001eb063150","Zm00001eb164350","Zm00001eb069630","Zm00001eb112950","Zm00001eb078570"
NA,NA,NA,NA,"Zm00001eb139700","Zm00001eb002620","Zm00001eb247580","Zm00001eb293150","Zm00001eb032410","Zm00001eb194080","Zm00001eb286300"
NA,NA,NA,NA,"Zm00001eb272640","Zm00001eb198950","Zm00001eb235050","Zm00001eb365640","Zm00001eb311260","Zm00001eb250160","Zm00001eb287130"
NA,NA,NA,NA,"Zm00001eb322560","Zm00001eb019570","Zm00001eb101710","Zm00001eb236550","Zm00001eb390590","Zm00001eb099420","Zm00001eb398950"
NA,NA,NA,NA,"Zm00001eb099610","Zm00001eb216310","Zm00001eb162720","Zm00001eb389720","Zm00001eb045750","Zm00001eb213970","Zm00001eb308420"
NA,NA,NA,NA,"Zm00001eb206380","Zm00001eb011240","Zm00001eb215560","Zm00001eb207830","Zm00001eb157640","Zm00001eb409690","Zm00001eb189060"
NA,NA,NA,NA,"Zm00001eb402410","Zm00001eb163000","Zm00001eb377470","Zm00001eb141530","Zm00001eb349070","Zm00001eb098120","Zm00001eb406510"
NA,NA,NA,NA,"Zm00001eb234460","Zm00001eb266490","Zm00001eb004590","Zm00001eb243560","Zm00001eb032380","Zm00001eb196030","Zm00001eb377160"
NA,NA,NA,NA,"Zm00001eb340260","Zm00001eb010410","Zm00001eb069870","Zm00001eb195810","Zm00001eb019840","Zm00001eb087720","Zm00001eb412420"
NA,NA,NA,NA,"Zm00001eb048020","Zm00001eb244570","Zm00001eb180480","Zm00001eb323300","Zm00001eb321480","Zm00001eb172070","Zm00001eb426270"
NA,NA,NA,NA,"Zm00001eb405290","Zm00001eb159290","Zm00001eb280520","Zm00001eb099230","Zm00001eb338890","Zm00001eb369970","Zm00001eb383280"
NA,NA,NA,NA,"Zm00001eb066960","Zm00001eb379570","Zm00001eb037980","Zm00001eb310990","Zm00001eb387370","Zm00001eb406020","Zm00001eb332260"
NA,NA,NA,NA,"Zm00001eb093140","Zm00001eb338160","Zm00001eb213720","Zm00001eb041460","Zm00001eb016850","Zm00001eb220060","Zm00001eb162710"
NA,NA,NA,NA,"Zm00001eb018900","Zm00001eb025450","Zm00001eb264670","Zm00001eb017010","Zm00001eb159890","Zm00001eb063150","Zm00001eb298290"
NA,NA,NA,NA,"Zm00001eb370930","Zm00001eb167710","Zm00001eb129550","Zm00001eb185980","Zm00001eb410510","Zm00001eb247580","Zm00001eb124100"
NA,NA,NA,NA,"Zm00001eb429440","Zm00001eb313970","Zm00001eb161480","Zm00001eb101090","Zm00001eb195800","Zm00001eb235050","Zm00001eb233850"
NA,NA,NA,NA,"Zm00001eb082100","Zm00001eb047630","Zm00001eb325410","Zm00001eb088650","Zm00001eb202960","Zm00001eb162720","Zm00001eb020710"
NA,NA,NA,NA,"Zm00001eb113580","Zm00001eb019580","Zm00001eb129050","Zm00001eb266060","Zm00001eb416530","Zm00001eb377470","Zm00001eb240460"
NA,NA,NA,NA,"Zm00001eb285880","Zm00001eb344160","Zm00001eb313760","Zm00001eb308850","Zm00001eb021720","Zm00001eb004590","Zm00001eb067900"
NA,NA,NA,NA,"Zm00001eb404280","Zm00001eb145390","Zm00001eb388800","Zm00001eb253170","Zm00001eb206580","Zm00001eb196640","Zm00001eb140320"
NA,NA,NA,NA,"Zm00001eb004320","Zm00001eb286610","Zm00001eb303350","Zm00001eb006860","Zm00001eb294600","Zm00001eb158010","Zm00001eb431560"
NA,NA,NA,NA,"Zm00001eb036910","Zm00001eb008910","Zm00001eb403920","Zm00001eb309780","Zm00001eb405570","Zm00001eb180480","Zm00001eb211920"
NA,NA,NA,NA,"Zm00001eb078670","Zm00001eb183170","Zm00001eb345960","Zm00001eb073810","Zm00001eb151340","Zm00001eb037980","Zm00001eb109110"
NA,NA,NA,NA,"Zm00001eb293940","Zm00001eb251680","Zm00001eb169510","Zm00001eb291630","Zm00001eb149810","Zm00001eb213720","Zm00001eb215510"
NA,NA,NA,NA,"Zm00001eb345210","Zm00001eb102160","Zm00001eb011750","Zm00001eb410060","Zm00001eb042260","Zm00001eb264670","Zm00001eb030380"
NA,NA,NA,NA,"Zm00001eb426080","Zm00001eb295250","Zm00001eb164870","Zm00001eb245670","Zm00001eb347060","Zm00001eb161480","Zm00001eb269300"
NA,NA,NA,NA,"Zm00001eb245320","Zm00001eb034290","Zm00001eb024430","Zm00001eb194160","Zm00001eb042410","Zm00001eb135430","Zm00001eb300920"
NA,NA,NA,NA,"Zm00001eb109570","Zm00001eb048730","Zm00001eb275030","Zm00001eb325300","Zm00001eb349810","Zm00001eb325410","Zm00001eb360750"
NA,NA,NA,NA,"Zm00001eb011140","Zm00001eb255850","Zm00001eb393060","Zm00001eb203230","Zm00001eb334670","Zm00001eb129050","Zm00001eb302560"
NA,NA,NA,NA,"Zm00001eb164350","Zm00001eb246480","Zm00001eb139700","Zm00001eb009840","Zm00001eb258130","Zm00001eb313760","Zm00001eb380860"
NA,NA,NA,NA,"Zm00001eb293150","Zm00001eb259120","Zm00001eb272640","Zm00001eb013150","Zm00001eb037540","Zm00001eb388800","Zm00001eb185590"
NA,NA,NA,NA,"Zm00001eb365640","Zm00001eb419700","Zm00001eb260160","Zm00001eb147750","Zm00001eb365580","Zm00001eb303350","Zm00001eb324740"
NA,NA,NA,NA,"Zm00001eb175540","Zm00001eb314670","Zm00001eb322560","Zm00001eb235590","Zm00001eb233900","Zm00001eb345960","Zm00001eb293310"
NA,NA,NA,NA,"Zm00001eb236550","Zm00001eb422270","Zm00001eb099610","Zm00001eb250110","Zm00001eb054590","Zm00001eb169510","Zm00001eb343050"
NA,NA,NA,NA,"Zm00001eb389720","Zm00001eb079980","Zm00001eb206380","Zm00001eb216220","Zm00001eb080160","Zm00001eb011750","Zm00001eb365780"
NA,NA,NA,NA,"Zm00001eb207830","Zm00001eb086130","Zm00001eb009600","Zm00001eb245270","Zm00001eb114700","Zm00001eb024430","Zm00001eb316990"
NA,NA,NA,NA,"Zm00001eb243560","Zm00001eb049240","Zm00001eb402410","Zm00001eb190620","Zm00001eb352710","Zm00001eb275030","Zm00001eb025910"
NA,NA,NA,NA,"Zm00001eb323300","Zm00001eb158530","Zm00001eb234460","Zm00001eb292260","Zm00001eb309880","Zm00001eb393060","Zm00001eb124170"
NA,NA,NA,NA,"Zm00001eb099230","Zm00001eb408260","Zm00001eb340260","Zm00001eb407190","Zm00001eb402760","Zm00001eb139700","Zm00001eb233140"
NA,NA,NA,NA,"Zm00001eb310990","Zm00001eb195380","Zm00001eb048020","Zm00001eb114610","Zm00001eb003480","Zm00001eb272640","Zm00001eb143060"
NA,NA,NA,NA,"Zm00001eb041460","Zm00001eb307660","Zm00001eb405290","Zm00001eb165870","Zm00001eb206350","Zm00001eb260160","Zm00001eb046960"
NA,NA,NA,NA,"Zm00001eb185980","Zm00001eb294830","Zm00001eb066960","Zm00001eb241910","Zm00001eb216410","Zm00001eb099610","Zm00001eb206220"
NA,NA,NA,NA,"Zm00001eb101090","Zm00001eb078570","Zm00001eb093140","Zm00001eb061160","Zm00001eb255830","Zm00001eb236620","Zm00001eb414630"
NA,NA,NA,NA,"Zm00001eb147220","Zm00001eb286300","Zm00001eb018900","Zm00001eb191510","Zm00001eb046590","Zm00001eb402410","Zm00001eb413600"
NA,NA,NA,NA,"Zm00001eb266060","Zm00001eb287130","Zm00001eb370930","Zm00001eb315490","Zm00001eb111610","Zm00001eb399970","Zm00001eb211930"
NA,NA,NA,NA,"Zm00001eb101270","Zm00001eb151740","Zm00001eb429440","Zm00001eb208800","Zm00001eb253380","Zm00001eb234460","Zm00001eb162760"
NA,NA,NA,NA,"Zm00001eb308850","Zm00001eb398950","Zm00001eb082100","Zm00001eb308100","Zm00001eb112950","Zm00001eb340260","Zm00001eb121310"
NA,NA,NA,NA,"Zm00001eb253170","Zm00001eb161390","Zm00001eb113580","Zm00001eb403560","Zm00001eb194080","Zm00001eb066960","Zm00001eb117510"
NA,NA,NA,NA,"Zm00001eb401280","Zm00001eb308420","Zm00001eb285880","Zm00001eb313850","Zm00001eb250160","Zm00001eb093140","Zm00001eb109480"
NA,NA,NA,NA,"Zm00001eb425120","Zm00001eb189060","Zm00001eb404280","Zm00001eb054950","Zm00001eb099420","Zm00001eb018900","Zm00001eb067700"
NA,NA,NA,NA,"Zm00001eb006860","Zm00001eb039130","Zm00001eb004320","Zm00001eb120060","Zm00001eb213970","Zm00001eb370930","Zm00001eb321360"
NA,NA,NA,NA,"Zm00001eb309780","Zm00001eb435040","Zm00001eb036910","Zm00001eb096870","Zm00001eb409690","Zm00001eb429440","Zm00001eb432420"
NA,NA,NA,NA,"Zm00001eb073810","Zm00001eb435200","Zm00001eb078670","Zm00001eb312390","Zm00001eb098120","Zm00001eb082100","Zm00001eb242060"
NA,NA,NA,NA,"Zm00001eb369800","Zm00001eb435400","Zm00001eb293940","Zm00001eb427430","Zm00001eb196030","Zm00001eb113580","Zm00001eb316700"
NA,NA,NA,NA,"Zm00001eb291630","Zm00001eb435660","Zm00001eb345210","Zm00001eb300260","Zm00001eb087720","Zm00001eb416580","Zm00001eb008970"
NA,NA,NA,NA,"Zm00001eb410060","Zm00001eb406510","Zm00001eb426080","Zm00001eb112490","Zm00001eb027700","Zm00001eb004320","Zm00001eb019530"
NA,NA,NA,NA,"Zm00001eb245670","Zm00001eb377160","Zm00001eb375370","Zm00001eb022980","Zm00001eb055860","Zm00001eb036910","Zm00001eb409700"
NA,NA,NA,NA,"Zm00001eb025140","Zm00001eb197410","Zm00001eb109570","Zm00001eb354650","Zm00001eb172070","Zm00001eb078670","Zm00001eb148310"
NA,NA,NA,NA,"Zm00001eb194160","Zm00001eb412420","Zm00001eb117660","Zm00001eb049310","Zm00001eb369970","Zm00001eb293940","Zm00001eb309020"
NA,NA,NA,NA,"Zm00001eb325300","Zm00001eb426270","Zm00001eb011140","Zm00001eb002620","Zm00001eb406020","Zm00001eb109570","Zm00001eb158540"
NA,NA,NA,NA,"Zm00001eb203230","Zm00001eb383280","Zm00001eb164350","Zm00001eb198950","Zm00001eb063340","Zm00001eb117660","Zm00001eb400930"
NA,NA,NA,NA,"Zm00001eb150530","Zm00001eb332260","Zm00001eb293150","Zm00001eb019570","Zm00001eb122190","Zm00001eb011140","Zm00001eb222050"
NA,NA,NA,NA,"Zm00001eb325740","Zm00001eb160170","Zm00001eb365640","Zm00001eb216310","Zm00001eb220060","Zm00001eb164350","Zm00001eb208500"
NA,NA,NA,NA,"Zm00001eb138370","Zm00001eb162710","Zm00001eb236550","Zm00001eb011240","Zm00001eb063150","Zm00001eb293150","Zm00001eb251520"
NA,NA,NA,NA,"Zm00001eb009840","Zm00001eb298290","Zm00001eb389720","Zm00001eb163000","Zm00001eb247580","Zm00001eb365640","Zm00001eb011440"
NA,NA,NA,NA,"Zm00001eb013150","Zm00001eb124100","Zm00001eb207830","Zm00001eb266490","Zm00001eb235050","Zm00001eb236550","Zm00001eb169670"
NA,NA,NA,NA,"Zm00001eb147750","Zm00001eb233850","Zm00001eb243560","Zm00001eb010410","Zm00001eb101710","Zm00001eb389720","Zm00001eb353340"
NA,NA,NA,NA,"Zm00001eb144250","Zm00001eb303750","Zm00001eb323300","Zm00001eb244570","Zm00001eb162720","Zm00001eb207830","Zm00001eb192340"
NA,NA,NA,NA,"Zm00001eb120920","Zm00001eb020710","Zm00001eb099230","Zm00001eb159290","Zm00001eb215560","Zm00001eb141530","Zm00001eb229070"
NA,NA,NA,NA,"Zm00001eb027950","Zm00001eb045740","Zm00001eb310990","Zm00001eb379570","Zm00001eb377470","Zm00001eb243560","Zm00001eb409580"
NA,NA,NA,NA,"Zm00001eb235590","Zm00001eb240460","Zm00001eb041460","Zm00001eb025450","Zm00001eb004590","Zm00001eb323300","Zm00001eb239020"
NA,NA,NA,NA,"Zm00001eb250110","Zm00001eb067900","Zm00001eb185980","Zm00001eb167710","Zm00001eb069870","Zm00001eb099230","Zm00001eb314130"
NA,NA,NA,NA,"Zm00001eb216220","Zm00001eb140320","Zm00001eb101090","Zm00001eb313970","Zm00001eb196640","Zm00001eb310990","Zm00001eb093580"
NA,NA,NA,NA,"Zm00001eb245270","Zm00001eb431560","Zm00001eb147220","Zm00001eb047630","Zm00001eb158010","Zm00001eb041460","Zm00001eb411000"
NA,NA,NA,NA,"Zm00001eb371280","Zm00001eb211920","Zm00001eb266060","Zm00001eb019580","Zm00001eb180480","Zm00001eb017010","Zm00001eb162620"
NA,NA,NA,NA,"Zm00001eb360330","Zm00001eb109110","Zm00001eb101270","Zm00001eb344160","Zm00001eb037980","Zm00001eb185980","Zm00001eb327890"
NA,NA,NA,NA,"Zm00001eb394520","Zm00001eb215510","Zm00001eb308850","Zm00001eb145390","Zm00001eb213720","Zm00001eb101090","Zm00001eb392440"
NA,NA,NA,NA,"Zm00001eb147910","Zm00001eb030380","Zm00001eb401280","Zm00001eb286610","Zm00001eb264670","Zm00001eb088650","Zm00001eb258150"
NA,NA,NA,NA,"Zm00001eb292260","Zm00001eb269300","Zm00001eb006860","Zm00001eb008910","Zm00001eb406420","Zm00001eb266060","Zm00001eb349490"
NA,NA,NA,NA,"Zm00001eb407190","Zm00001eb300920","Zm00001eb309780","Zm00001eb192120","Zm00001eb161480","Zm00001eb308850","Zm00001eb370350"
NA,NA,NA,NA,"Zm00001eb301210","Zm00001eb360750","Zm00001eb073810","Zm00001eb251680","Zm00001eb135430","Zm00001eb006860","Zm00001eb287890"
NA,NA,NA,NA,"Zm00001eb114610","Zm00001eb302560","Zm00001eb369800","Zm00001eb102160","Zm00001eb270380","Zm00001eb309780","Zm00001eb077570"
